pmid,induction_method,intervention,readout,mechanism_proposed,hypothesis,future_directions,finding_direction,molecular_entities,genetic_manipulation,structured_abstract
39018366,ZSF1 obese rat model of HFpEF,small-molecule vasohibin inhibitor,diastolic relaxation,ablating MTN detyrosination,We explored whether increased MTN detyrosination contributed to impaired diastolic function in the ZSF1 obese rat model of HFpEF and designed a small-molecule vasohibin inhibitor to ablate MTN detyrosination in vivo.,,improved,α-tubulin; tubulin,[],False
29185443,aortic constriction,,"Pulmonary function, gas exchange, and invasive hemodynamics",,,,not_stated,NT-proBNP,[],False
35408928,high-fat high-sucrose diet (HFHSD),metformin treatment,cardiac function,,Whether metformin could prevent the progression of DCM remains not well understood.,,no_change,,[],False
39325678,obese diabetic Zucker fatty/spontaneously hypertensive heart failure F1 hybrid (ZSF1) rat model,PF04447943,coronary microvascular rarefaction and LV diastolic dysfunction,augmenting PRDX-dependent antioxidant mechanisms,to investigate the mechanisms by which PDE9A inhibition could ameliorate CMD and improve LV diastolic function in HFpEF,,improved,PDE9A; PF04447943; hydrogen peroxide; 3-nitrotyrosine; peroxiredoxins; PRDX; PRDX5,[],True
37204871,chronic angiotensin II/phenylephrine (ANG II/PE) infusion,,,,,,not_stated,angiotensin II; phenylephrine,[],False
29620605,,"captopril, furosemide, and their combination",left ventricular end diastolic pressures,,"we evaluated the effects of captopril, furosemide, and their combination in aged, obese ZSF1 rats, an animal model of HFpEF with the metabolic syndrome and chronic kidney disease as comorbidities.",,improved,,[],False
33350094,,,Protein expression and enzyme activity of selected markers,,The aim of the present study was to investigate molecular changes in SM of three different animal models and to compare them with alterations of muscle biopsies obtained from human HFpEF patients.,,not_stated,MuRF1; LC3; succinate dehydrogenase; malate dehydrogenase; porin,[],True
38847102,Obese ZSF1 (Zucker fatty and spontaneously hypertensive) rats,empagliflozin (Empa),diastolic function,"Proteomic analysis demonstrated major changes in proteins involved in mitochondrial oxidative phosphorylation. Cardiac mitochondrial respiration was significantly impaired in HFpEF but restored by Empa... The expression of cardiolipin, an essential stability/functionality-mediating phospholipid of the respiratory chain, was significantly decreased in HFpEF but reverted by Empa",,,improved,cardiolipin,[],True
38264909,,IPA dietary supplementation,diastolic dysfunction,enhancing the nicotinamide adenine dinucleotide salvage pathway,,,improved,IPA; NNMT; nicotinamide; NAD +; NADH; SIRT3; Nnmt,"[{""gene"": ""Sirt3"", ""alteration_type"": ""knockdown""}, {""gene"": ""Nnmt"", ""alteration_type"": ""knockdown""}, {""gene"": ""Nnmt"", ""alteration_type"": ""transgenic_overexpression""}]",True
34667218,,,"serum, urine and lysates of liver, kidney and heart were analyzed",inflammatory cells in blood and heart consume arginine and probably homoarginine via arginase 1 and inducible NO synthase and release ornithine and citrulline,,,not_stated,NO; arginine; homoarginine; nitrite; Ornithine; citrulline; arginase 1; inducible NO synthase; endothelial NO synthase,[],False
35960633,,,,,,,not_stated,,[],False
36278398,a combination of the long-term high-fat diet feeding and a low-dose streptozocin challenge,oral administration of small molecule SIRT6 activator MDL-800 to diabetic mice,cardiac lipid accumulation and diastolic dysfunction,SIRT6 suppressed endothelial expression of PPARγ through SIRT6-dependent deacetylation of histone H3 lysine 9 around PPARγ promoter region; and PPARγ reduction mediated SIRT6-dependent inhibition of endothelial FA uptake,,,improved,SIRT6; sirtuin 6; FA; PPARγ; histone H3 lysine 9; MDL-800,"[{""gene"": ""SIRT6"", ""alteration_type"": ""transgenic_overexpression"", ""detail"": null}]",True
34792407,,,"loss of limb muscle-specific force independent of atrophy, mitochondrial dysfunction, and oxidized shift in redox balance",,,,not_stated,,[],False
26813102,double-leptin receptor defect (obese ZSF1) with the combined treatment of vascular endothelial growth factor receptor blocker SU5416,oral nitrite treatment,hyperglycemia,skeletal muscle SIRT3-AMPK-GLUT4 signaling,To evaluate the efficacy and mechanism of nitrite in metabolic syndrome associated with PH-HFpEF,,improved,nitrite; nitrate; SIRT3; AMPK; GLUT4; sodium nitrite; metformin; SU5416,"[{""gene"": ""SIRT3"", ""alteration_type"": ""knockout"", ""detail"": null}]",True
38880090,a combination of high-fat diet (HFD) and inhibition of constitutive nitric oxide synthase using N-nitro-l-arginine methyl ester (l-NAME),,gene expression profiles,troponin T type 1 (Tnnt1) directly regulated 31 neighboring genes and was considered to be at the core of the associated gene network,"to investigate changes in gene expression profiles in preclinical HFpEF animal models, with the aim of searching for novel therapeutic targets",,not_stated,Tnnt1; troponin T type 1,[],True
38180450,,ovary-intact menopause [accelerated ovarian failure (AOF)],diastolic and systolic cardiac dysfunction,,to examine the impact of ovary-intact menopause [accelerated ovarian failure (AOF)] on HFpEF,,no_change,,[],False
34328815,,sildenafil,"effort tests, glucose metabolism studies, hemodynamic evaluation, and samples were collected for aortic ring preparation, left ventricular (LV) myocardial adenosine triphosphate (ATP) quantification, immunoblotting and histology",VASP phosphorylation,to test chronic sildenafil therapy in the young male ZSF1 obese rat model of HFpEF with severe hypertension and metabolic syndrome,,improved,PKG; sildenafil; ATP; VASP,[],False
39018163,,,"myocardial structure, left ventricular function, gene expression, cardiomyocyte calcium handling, mitochondrial polarization and protein acetylation",unique triggering mechanisms (neurohormonal overactivation in HFrEF vs. inflammation in HFpEF) appear to determine the distinct phenotypes of HF,,further exploration of the differential mechanisms underlying each HF subtype,not_stated,,[],False
38363584,"two-hit murine model of heart failure with preserved ejection fraction (HfpEF), combining elevated blood pressure, obesity, and exercise intolerance in male and female animals","correction of hypertension, normalization of the diet, and introduction of voluntary exercise",remodeling of the left ventricle and exercise capacity,,,,improved,,[],False
26342070,"deoxycorticosteroneacetate (DOCA, 100 mg/kg, 90-day-release subcutaneous depot) and a Western diet (WD) containing high amounts of salt, fat, cholesterol, and sugar for 12 wk",,LV end-diastolic pressure-volume relationship,loss of LV capacitance was associated with a titin isoform shift and dysfunctional NOS,Relevant animal models to identify potential therapeutic targets and to test novel therapies for HFPEF are missing.,,not_stated,titin; NOS; AKT,[],False
37929582,N γ -nitro-L-arginine methyl ester and high-fat diet,anti–IL-1β antibody,pulmonary vascular remodeling,myeloid cell–derived IL-1β,"determine whether a well-accepted murine model of HFpEF also displays features of PH, and we sought to identify pathways that might drive early remodeling of the pulmonary vasculature in HFpEF",,improved,IL-1β; interleukin-1 beta; CD68,[],True
39485297,feeding mice a Western diet rich in fat and salt and low in fiber alongside excess mineralocorticoids,,Cardiac alterations including diastolic dysfunction and decreased stroke volume with preserved ejection fraction,"inflammation, oxidative stress, impaired NO-cGMP-PKG signaling pathways, and altered calcium signaling in cardiomyocytes",,,not_stated,NO; cGMP; PKG,[],False
28974519,high-salt diet (8% NaCl),,susceptibility to VA,,,,not_stated,,[],True
34905696,Dahl salt-sensitive rats fed a high-salt diet and C57Bl6 mice fed a high-fat diet and an inhibitor of constitutive nitric oxide synthase (Nω-nitro-L-arginine methyl ester [L-NAME]; 2-hit),,SAN function and chronotropic response,HFpEF-related alterations in both the “membrane clock” (ion channels) and the “Ca 2+ clock” (spontaneous Ca 2+ release events),,,not_stated,L-NAME; Ca 2+,[],True
27135883,subtotal nephrectomy,SEA0400,"LV cardiomyocyte cell shortening, and Ca(2+) transients",NCX reverse mode activity,"We investigated cardiomyocyte function and the role of SEA0400, an Na(+) /Ca(2+) exchanger (NCX) inhibitor in a rat model of chronic kidney disease (CKD) with HFpEF.",,improved,NCX; SEA0400,[],True
37564202,5/6 subtotal nephrectomy and retinol administration,small molecule inhibitor AC-4-130,heart failure characteristics and dynamic progression,Serum accumulation of retinol in CKD prompts myocardial hypertrophy and fibrosis by activating JAK2 and phosphorylating STAT5,,,improved,eNOS; JAK2; STAT5; AC-4-130,[],False
35476142,high-salt diet,canagliflozin,"levels of acyl-CoA synthetase long-chain family member 4, glutathione peroxidase 4, ferritin heavy chain 1, transferrin receptor, Ferroportin 1, iron, glutathione, malondialdehyde, and 4-hydroxy-trans-2-nonenal",mitigation of ferroptosis,,,improved,acyl-CoA synthetase long-chain family member 4; glutathione peroxidase 4; ferritin heavy chain 1; transferrin receptor; Ferroportin 1; iron; glutathione; malondialdehyde; 4-hydroxy-trans-2-nonenal; canagliflozin,[],False
27470639,Genetic deletion of the I-band-A-band junction (IAjxn) in titin,Inhibition of RBM20,diastolic function,upregulating compliant titin isoforms,To determine the therapeutic potential of upregulating compliant titin isoforms in an HFpEF-like state in the mouse,,improved,RBM20; titin; Ttn; N2BAsc; IAjxn,"[{""gene"": ""RBM20"", ""alteration_type"": ""knockdown"", ""detail"": null}, {""gene"": ""Ttn"", ""alteration_type"": ""knockout"", ""detail"": ""\u0394IAjxn""}]",False
32183553,ovariectomy and excess weight (stimulated by fructose in water),,"LV structural and functional changes, LV inflammation, oxidative stress, and cell death","aging in the female rat heart, when compounded with estrogen depletion and excess weight promotes the development of greater levels inflammation, OS, fibrosis, capillary rarefaction, cardiomyocyte hypertrophy, and injury/death","to characterize the possible role of LV inflammation, oxidative stress, and cell death in inducing such changes",,worsened,IL-1̢; TNF-̷; IFN-̱; TGF-̱; CD68; troponin I,[],False
35633883,endothelial overexpression of human β 3 ‐adrenoreceptor (Tg β 3 ) in rats,,endothelial and cardiac function,endothelial dysfunction and oxidative stress,to decipher the involvement of endothelial dysfunction in the HFpEF development,,worsened,β 3 ‐adrenoreceptor; NOS; NOS1; NOS3; NOS2,"[{""gene"": ""\u03b2 3"", ""alteration_type"": ""transgenic_overexpression"", ""detail"": null}]",False
